[0.000000] (-) TimerEvent: {}
[0.000759] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000810] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000837] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000858] (-) JobUnselected: {'identifier': 'cartesian_compliance_controller'}
[0.000877] (-) JobUnselected: {'identifier': 'cartesian_controller_base'}
[0.000897] (-) JobUnselected: {'identifier': 'cartesian_controller_handles'}
[0.000916] (-) JobUnselected: {'identifier': 'cartesian_controller_simulation'}
[0.000934] (-) JobUnselected: {'identifier': 'cartesian_controller_simulation_ur5e'}
[0.000952] (-) JobUnselected: {'identifier': 'cartesian_controller_tests'}
[0.000970] (-) JobUnselected: {'identifier': 'cartesian_controller_utilities'}
[0.000988] (-) JobUnselected: {'identifier': 'cartesian_force_controller'}
[0.001006] (-) JobUnselected: {'identifier': 'cartesian_motion_controller'}
[0.001024] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.001042] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.001060] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.001070] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.001077] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.001084] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.001091] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.001099] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.001106] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.001113] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.001119] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.001126] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.001133] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.001141] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.001147] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.001155] (-) JobUnselected: {'identifier': 'kinematics_interface'}
[0.001161] (-) JobUnselected: {'identifier': 'kinematics_interface_kdl'}
[0.001168] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.001175] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.001182] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.001189] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.001196] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.001203] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.001210] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001217] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001224] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001231] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001238] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001245] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001252] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001259] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001266] (-) JobUnselected: {'identifier': 'ur'}
[0.001273] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.001280] (-) JobUnselected: {'identifier': 'ur_client_library'}
[0.001287] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.001295] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.001302] (-) JobUnselected: {'identifier': 'ur_description'}
[0.001309] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.001315] (-) JobUnselected: {'identifier': 'ur_msgs'}
[0.001322] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.001329] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001337] (-) EventReactorShutdown: {}
